text,label
islamic bring us back middle age starve death die diseases disappeared ,0
musulmans partez ,0
gli arabi vengono nelle nostre nazioni e vogliono diffondere con la forza la loro religione cercando di impartire degli ordini nella nostra nazione opportuno rimpatriarli con delle barche ,0
animals ,0
arabs terrorists want conquer us violence bombs must respond napalm ,1
ton voile est une agression contre moi ,0
l n pas notre pays ,0
muslims return country ,0
someone needs put muslims hole ground start blow us again ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
gli arabi vogliono imporci la loro religione e vogliono comandare casa nostra bisogna rimandarli casa sui barconi ,0
quran root world problems today muslims believe everything written even old nothing century ,0
l islam una religione non pacifica che professa la violenza ,0
l et le terrorisme sont des synonymes ,1
veiled women work locked home ,1
veiled women work locked home ,1
le voile reprsente l politique des musulmans ,0
l pose beaucoup de problmes notre socit ,0
finiremo tutti per morire causa di una bomba causa loro ,1
think ramadam prevent muslims committing terrorist attacks sexual violence children ,1
arabs want impose religion rule home must sent back house boats ,0
quran root world problems today muslims believe everything written even old nothing century ,0
les musulmans exploitent le systme franais ,0
veil attack me ,0
muslims return country ,0
cannot celebrate festivities muslim offended them ,0
muslims years impose beliefs want see radical chic bleeding hearts wear veil ,0
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
le voile reprsente l politique des musulmans ,0
muslims anti semitic ,0
cannot even take dog walk could offend muslims ,0
tous les musulmans sont des terroristes radicaux ,1
veiled women work locked home ,1
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
les musulmans ne sont pas tolrants aux autres religions ,0
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
veiled women subjected forced wear headscarf ,0
le voile islamique est une honte pour nous ,0
les musulmans sont tous des racailles ,0
islam silence tacit acceptance raise voice late ,0
l est nuisible ,0
islam speak now short time words useless ,0
islam evil islam invading us trying take countries follow scriptures say shall envy anyone anything stop islam ,0
l ne partage pas nos valeurs rpublicaines ,0
sono bestie tengono le loro donne casa e sotto il velo poi escono e violentano le nostre ,1
muslims incompatible western society ,0
l fanatismo musulmani vogliono uccidere tutti quelli che non credono nel loro dio ,1
l pose beaucoup de problmes notre socit ,0
europe civilised muslims stay there ,0
gli arabi arrivano qui per far valere la loro religione e le loro ideologie su di noi dobbiamo rispedirli nel proprio paese di origine tramite barconi ,0
l compie atti estremisti gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo ,1
noi accogliamo musulmani e provvediamo loro loro vogliono solo ucciderci sembrano pi delle bestie che degli uomini ,1
islam fanaticism muslims want kill believe god ,1
les femmes voiles ne travaillent pas elles sont enfermes la maison ,1
