new_label,clean_text
1,according recent ofsted report school birmingham still segregating girls boys despite hight court ruling unlawful 
1,birmingham school girls boys separeted even legal 
1,school birningham still separating girls boys information come ofsted report high court said type action illegal 
1,according recent ofsted report school birmingham still segregating girls boys despite hight court ruling unlawful 
1,birmingham school girls boys separeted even legal 
1,school birningham still separating girls boys information come ofsted report high court said type action illegal 
1,according recent ofsted report school birmingham still segregating girls boys despite hight court ruling unlawful 
1,birmingham school girls boys separeted even legal 
1,school birningham still separating girls boys information come ofsted report high court said type action illegal 
1,according recent ofsted report school birmingham still segregating girls boys despite hight court ruling unlawful 
1,birmingham school girls boys separeted even legal 
1,school birningham still separating girls boys information come ofsted report high court said type action illegal 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,police politicians covering muslim grooming gangs traitors people 
1,muslims grooming gangs protected government police betrayal 
1,police government defending muslim gangs must considered traitors society 
1,shocking men murdered paris throats cut savage shouting akbar bbc ignore story another cover up 
1,strange bbc reported murder two men paris killed muslim shouting akbar 
1,bbc covering muslims paris attack men killed murderers shouted akbar bbc said nothing this disgusting 
1,shocking men murdered paris throats cut savage shouting akbar bbc ignore story another cover up 
1,strange bbc reported murder two men paris killed muslim shouting akbar 
1,bbc covering muslims paris attack men killed murderers shouted akbar bbc said nothing this disgusting 
1,shocking men murdered paris throats cut savage shouting akbar bbc ignore story another cover up 
1,strange bbc reported murder two men paris killed muslim shouting akbar 
1,bbc covering muslims paris attack men killed murderers shouted akbar bbc said nothing this disgusting 
1,shocking men murdered paris throats cut savage shouting akbar bbc ignore story another cover up 
1,strange bbc reported murder two men paris killed muslim shouting akbar 
1,bbc covering muslims paris attack men killed murderers shouted akbar bbc said nothing this disgusting 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
1,muslims committed crime two days ago yesterday court punish them common citizens punish properly nation anything counter violent muslims 
1,people punished yesterday violations instead violent muslims government deport criminals common people take care them 
1,muslims punished yesterday few citizen take action government anything 
